AC,ENG,Flight,Leg_flight_H,Volume_L
AC01,Right,79,1.3472222222222223,1873.3103679287412
AC01,Left,80,1.448888888888889,1914.2130594035286
AC01,Right,80,1.448888888888889,1925.0242314938853
AC01,Left,81,1.5477777777777777,2102.3953507480464
AC01,Right,81,1.5477777777777777,2116.7299868645305
AC01,Left,82,1.0308333333333333,1600.3017270248097
AC01,Right,82,1.0308333333333333,1612.740033606009
AC01,Left,83,1.2083333333333333,1805.8545763758966
AC01,Right,83,1.2083333333333333,1817.5525965848828
AC01,Left,84,0.8058333333333333,1234.651107104527
AC01,Right,84,0.8058333333333333,1245.9782363633951
AC01,Left,85,0.8380555555555556,1327.2242918317436
AC01,Right,85,0.8380555555555556,1335.108715577816
AC01,Left,86,1.2008333333333334,1858.0873881656014
AC01,Right,86,1.2008333333333334,1871.7849293435754
AC01,Left,87,1.1630555555555555,1707.7030721166523
AC01,Right,87,1.1630555555555555,1719.4534358065025
AC01,Left,88,0.7941666666666667,1290.9143669207242
AC01,Right,88,0.7941666666666667,1302.2295319553948
AC01,Left,89,0.7177777777777777,1117.9984256520615
AC01,Right,89,0.7177777777777777,1128.1022129867479
AC01,Left,90,1.845,2830.1432160019904
AC01,Right,90,1.845,2851.720694341963
AC01,Left,91,2.111388888888889,3174.521445299334
AC01,Right,91,2.111388888888889,3192.5769551412027
AC01,Left,92,0.8541666666666666,1293.7214730230344
AC01,Right,92,0.8541666666666666,1303.013188640323
AC01,Left,93,0.8447222222222223,1315.4514952215227
AC01,Right,93,0.8447222222222223,1326.4660591232348
AC01,Left,94,0.9230555555555555,1308.1174257885298
AC01,Right,94,0.9230555555555555,1327.7821237849462
AC01,Left,95,0.9247222222222222,1314.50632150993
AC01,Right,95,0.9247222222222222,1327.6355620385282
AC01,Left,96,1.7672222222222222,2625.0958551232434
AC01,Right,96,1.7672222222222222,2641.3582268635296
AC01,Left,97,1.8366666666666667,2680.0161307732847
AC01,Right,97,1.8366666666666667,2699.294982539336
AC01,Left,98,1.373888888888889,2020.00072975675
AC01,Right,98,1.373888888888889,2032.8308646804137
AC01,Left,99,1.4475,2129.447957186344
AC01,Right,99,1.4475,2154.7089210510844
AC01,Left,100,1.6233333333333333,2341.029280004885
AC01,Right,100,1.6233333333333333,2365.488640848401
AC01,Left,101,1.6613888888888888,2497.9475579936275
AC01,Right,101,1.6613888888888888,2517.0708748451125
AC01,Left,102,2.7383333333333333,3999.0673619501945
AC01,Right,102,2.7383333333333333,4029.9784306921465
AC01,Left,103,2.7916666666666665,3837.625111686817
AC01,Right,103,2.7916666666666665,3867.199178374713
AC01,Left,104,1.325,2075.06457609716
AC01,Right,104,1.325,2090.438604190791
AC01,Left,105,1.4672222222222222,2272.7973094072354
AC01,Right,105,1.4672222222222222,2284.136402890301
AC01,Left,106,0.9197222222222222,1445.3964297572759
AC01,Right,106,0.9197222222222222,1459.2629656020374
AC01,Left,107,0.8622222222222222,1335.3300537254677
AC01,Right,107,0.8622222222222222,1343.929339867333
AC01,Left,108,0.8816666666666667,1334.3325365330106
AC01,Right,108,0.8816666666666667,1337.713925396795
AC01,Left,109,0.8347222222222223,1266.3204085549883
AC01,Right,109,0.8347222222222223,1276.76218522325
AC01,Left,110,1.3302777777777777,1998.8569545439327
AC01,Right,110,1.3302777777777777,2014.8740596881735
AC01,Left,111,1.2519444444444445,1838.597666948072
AC01,Right,111,1.2519444444444445,1851.924317175927
AC01,Left,112,1.9891666666666667,2917.4641063065583
AC01,Right,112,1.9891666666666667,2946.445943896683
AC01,Left,113,1.9572222222222222,2878.904907246432
AC01,Right,113,1.9572222222222222,2893.1288742890893
AC01,Left,114,1.4913888888888889,2179.332789977314
AC01,Right,114,1.4913888888888889,2189.34684563052
AC01,Left,115,1.3755555555555556,1987.4266338513623
AC01,Right,115,1.3755555555555556,2001.4202895782214
AC01,Left,116,1.1791666666666667,1805.8351345115752
AC01,Right,116,1.1791666666666667,1813.6627281927106
AC01,Left,117,1.0816666666666668,1708.3566178634337
AC01,Right,117,1.0816666666666668,1716.187202600618
AC01,Left,118,0.8794444444444445,1363.0287282704235
AC01,Right,118,0.8794444444444445,1376.0114070526038
AC01,Left,119,0.8427777777777777,1288.409357479398
AC01,Right,119,0.8427777777777777,1300.2359930985067
AC01,Left,120,1.4247222222222222,2170.835199741126
AC01,Right,120,1.4247222222222222,2183.4454920451626
AC01,Left,121,1.3369444444444445,2055.5419532630876
AC01,Right,121,1.3369444444444445,2068.802800257857
AC01,Left,122,0.7752777777777777,1211.781492551238
AC01,Right,122,0.7752777777777777,1216.3712680589572
AC01,Left,123,0.7166666666666667,1187.6227328406815
AC01,Right,123,0.7166666666666667,1196.4074644576065
AC01,Left,124,2.276388888888889,3434.1555790786206
AC01,Right,124,2.276388888888889,3451.034108365073
AC01,Left,125,2.2352777777777777,3342.33614047584
AC01,Right,125,2.2352777777777777,3359.2161652903155
AC01,Left,126,1.5697222222222222,2329.3402329640458
AC01,Right,126,1.5697222222222222,2341.0681637335265
AC01,Left,127,1.6177777777777778,2346.4057032535816
AC01,Right,127,1.6177777777777778,2363.7313954194105
AC01,Left,128,1.2769444444444444,1915.0370953451236
AC01,Right,128,1.2769444444444444,1927.6055128644696
AC01,Left,129,1.3072222222222223,1931.8857140710818
AC01,Right,129,1.3072222222222223,1940.2696441773949
AC01,Left,130,0.9566666666666667,1362.2465671135194
AC01,Right,130,0.9566666666666667,1375.2322369517494
AC01,Left,131,0.7752777777777777,1128.7647319016776
AC01,Right,131,0.7752777777777777,1141.3705376216408
AC01,Left,132,1.1730555555555555,1857.2783075042537
AC01,Right,132,1.1730555555555555,1867.4359338478282
AC01,Left,133,1.1730555555555555,1857.2783075042537
AC01,Right,133,1.1730555555555555,1867.4359338478282
AC01,Left,134,1.3172222222222223,1863.9737864707122
AC01,Right,134,1.3172222222222223,1874.4424826434183
AC01,Left,135,1.3172222222222223,1863.9737864707122
AC01,Right,135,1.3172222222222223,1874.4424826434183
AC01,Left,136,2.2066666666666666,3219.9854972493727
AC01,Right,136,2.2066666666666666,3244.6811515207864
AC01,Left,137,2.5875,3659.0545789568696
AC01,Right,137,2.5875,3680.2312557862288
AC01,Left,138,1.9275,2823.3565098260274
AC01,Right,138,1.9275,2839.0431032768156
AC01,Left,139,1.6275,2358.6466001355247
AC01,Right,139,1.6275,2371.5664667406686
AC01,Left,140,1.1241666666666668,1729.1803500789715
AC01,Right,140,1.1241666666666668,1738.9790496966243
AC01,Left,141,1.1255555555555556,1604.175144608711
AC01,Right,141,1.1255555555555556,1612.8282697594652
AC01,Left,142,1.2222222222222223,1886.8538697201736
AC01,Right,142,1.2222222222222223,1898.5922691858266
AC01,Left,143,1.1766666666666667,1817.9922818241366
AC01,Right,143,1.1766666666666667,1828.0512033180826
AC01,Left,144,3.033888888888889,4317.251417895402
AC01,Right,144,3.033888888888889,4348.140053716984
AC01,Left,145,3.325,4676.381535628113
AC01,Right,145,3.325,4706.233770528597
AC01,Left,146,1.7955555555555556,2720.3879097993145
AC01,Right,146,1.7955555555555556,2740.914031937941
AC01,Left,147,1.9230555555555555,2901.34231420059
AC01,Right,147,1.9230555555555555,2922.297652882299
AC01,Left,148,1.448888888888889,2093.0946619626093
AC01,Right,148,1.448888888888889,2102.7318445535975
AC01,Left,149,0.8519444444444444,1340.1022836521968
AC01,Right,149,0.8519444444444444,1348.3635804604867
AC01,Left,150,0.7005555555555556,1153.2734451700078
AC01,Right,150,0.7005555555555556,1157.451950470942
AC01,Left,151,0.7533333333333333,1261.871212681588
AC01,Right,151,0.7533333333333333,1267.7755573229942
AC01,Left,152,0.8775,1325.6046349810235
AC01,Right,152,0.8775,1336.1884868116292
AC01,Left,153,1.7633333333333334,2699.0242919668694
AC01,Right,153,1.7633333333333334,2716.5100056313386
AC01,Left,154,2.2369444444444446,3186.3779914789357
AC01,Right,154,2.2369444444444446,3213.0522293269914
AC01,Left,155,1.8733333333333333,2806.1773794066166
AC01,Right,155,1.8733333333333333,2820.9367454821077
AC01,Left,156,1.3477777777777777,2060.106304794387
AC01,Right,156,1.3477777777777777,2074.319803140873
AC01,Left,157,1.4122222222222223,1973.2086489208025
AC01,Right,157,1.4122222222222223,1981.5851013869924
AC01,Left,158,1.6130555555555555,2383.026697993733
